거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
61,매수 진입,2026-02-22 22:41:00,L_9767,67544.3,0.004,270.1772,-363.91,-0.09,1345.25,0.34,-2741.19,-0.69,68774.51,1.38
62,매수 청산,2026-02-23 06:38:30,S_13751,67550,0.004,269.9756,-67.21,-0.02,1641.95,0.41,-2444.49,-0.62,68905.87,1.38
62,매수 진입,2026-02-22 23:04:30,L_11648,67493.9,0.004,269.9756,-67.21,-0.02,1641.95,0.41,-2444.49,-0.62,68905.87,1.38
63,매수 청산,2026-02-23 06:38:30,S_13751,67550,0.004,269.4104,764.62,0.19,2473.77,0.62,-1612.66,-0.41,69868.63,1.40
63,매수 진입,2026-02-22 23:43:30,L_8457,67352.6,0.004,269.4104,764.62,0.19,2473.77,0.62,-1612.66,-0.41,69868.63,1.40
64,매도 청산,2026-02-23 07:09:30,L_14139,67489.4,0.004,270.2,-40.72,-0.01,157.84,0.04,-504.11,-0.13,69827.92,1.40
64,매도 진입,2026-02-23 06:38:30,S_13751,67550,0.004,270.2,-40.72,-0.01,157.84,0.04,-504.11,-0.13,69827.92,1.40
65,매수 청산,2026-02-23 07:48:00,S_14189,67716.5,0.004,269.9576,938.48,0.24,1137.7,0.29,-468.63,-0.12,70766.4,1.42
65,매수 진입,2026-02-23 07:09:30,L_14139,67489.4,0.004,269.9576,938.48,0.24,1137.7,0.29,-468.63,-0.12,70766.4,1.42
66,매도 청산,2026-02-23 09:45:00,L_14259,67134.7,0.004,270.866,3028.77,0.76,3226.42,0.81,-278.66,-0.07,73795.17,1.48
66,매도 진입,2026-02-23 07:48:00,S_14189,67716.5,0.004,270.866,3028.77,0.76,3226.42,0.81,-278.66,-0.07,73795.17,1.48
67,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,268.5388,-13833.81,-3.50,0,0.00,-17288.74,-4.37,58600.25,1.17
67,매수 진입,2026-02-23 09:45:00,L_14259,67134.7,0.004,268.5388,-13833.81,-3.50,0,0.00,-17288.74,-4.37,58600.25,1.17
68,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.008,537.0264,-27592.22,-3.49,0,0.00,-34502.08,-4.36,31403.28,0.63
68,매수 진입,2026-02-23 09:45:00,L_14115,67128.3,0.008,537.0264,-27592.22,-3.49,0,0.00,-34502.08,-4.36,31403.28,0.63
69,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,264.9804,-8593.23,-2.20,957.84,0.25,-12048.16,-3.09,23005.08,0.46
69,매수 진입,2026-02-23 10:01:30,L_5799,66245.1,0.004,264.9804,-8593.23,-2.20,957.84,0.25,-12048.16,-3.09,23005.08,0.46
70,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,263.1976,-5967.64,-1.54,57.7,0.01,-9422.56,-2.43,17231.15,0.34
70,매수 진입,2026-02-23 10:07:30,L_6433,65799.4,0.004,263.1976,-5967.64,-1.54,57.7,0.01,-9422.56,-2.43,17231.15,0.34
71,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,263.1416,-5885.16,-1.52,140.18,0.04,-9340.09,-2.41,11539.66,0.23
71,매수 진입,2026-02-23 10:07:30,L_4884,65785.4,0.004,263.1416,-5885.16,-1.52,140.18,0.04,-9340.09,-2.41,11539.66,0.23
72,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,262.8936,-5519.93,-1.43,334.08,0.09,-8974.85,-2.32,6213.23,0.12
72,매수 진입,2026-02-23 10:08:00,L_5104,65723.4,0.004,262.8936,-5519.93,-1.43,334.08,0.09,-8974.85,-2.32,6213.23,0.12
73,매수 청산,2026-02-23 14:05:00,S_14966,64851.2,0.004,258.0868,1559.22,0.41,2918.91,0.77,-1895.71,-0.50,7962.4,0.16
