거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
19,매도 청산,2026-02-15 21:51,L_9038,69712.4,0.004,279.0776,-73.81,-0.02,3165.26,0.77,-7036.65,-1.71,-42851.78,-0.86
19,매도 진입,2026-02-14 17:06,S_3155,69769.4,0.004,279.0776,-73.81,-0.02,3165.26,0.77,-7036.65,-1.71,-42851.78,-0.86
20,매도 청산,2026-02-15 21:51,L_9038,69712.4,0.004,279.4088,413.8,0.10,3649.89,0.89,-6549.03,-1.59,-42233.45,-0.84
20,매도 진입,2026-02-14 18:03,S_2745,69852.2,0.004,279.4088,413.8,0.10,3649.89,0.89,-6549.03,-1.59,-42233.45,-0.84
21,매도 청산,2026-02-15 21:51,L_9038,69712.4,0.004,280.4424,1935.54,0.47,5162.33,1.26,-5027.3,-1.22,-40092.63,-0.80
21,매도 진입,2026-02-14 20:13,S_2570,70110.6,0.004,280.4424,1935.54,0.47,5162.33,1.26,-5027.3,-1.22,-40092.63,-0.80
22,매도 청산,2026-02-15 21:51,L_9038,69712.4,0.004,281.2176,3076.84,0.74,6296.65,1.53,-3885.99,-0.94,-36809.94,-0.74
22,매도 진입,2026-02-14 20:21,S_5233,70304.4,0.004,281.2176,3076.84,0.74,6296.65,1.53,-3885.99,-0.94,-36809.94,-0.74
23,매수 청산,2026-02-16 13:18,S_10295,68710.2,0.004,278.8496,-6358.36,-1.54,440.98,0.11,-10080.36,-2.45,-43573.69,-0.87
23,매수 진입,2026-02-15 21:51,L_9038,69712.4,0.004,278.8496,-6358.36,-1.54,440.98,0.11,-10080.36,-2.45,-43573.69,-0.87
24,매수 청산,2026-02-16 13:18,S_10295,68710.2,0.004,277.9748,-5059.52,-1.23,406.27,0.10,-8791.14,-2.15,-48428.48,-0.97
24,매수 진입,2026-02-15 21:55,L_9101,69493.7,0.004,277.9748,-5059.52,-1.23,406.27,0.10,-8791.14,-2.15,-48428.48,-0.97
25,매수 청산,2026-02-16 13:18,S_10295,68710.2,0.004,272.4536,3138.01,0.78,5363.74,1.33,-654.35,-0.16,-45089.81,-0.90
25,매수 진입,2026-02-16 04:05,L_7885,68113.4,0.004,272.4536,3138.01,0.78,5363.74,1.33,-654.35,-0.16,-45089.81,-0.90
26,매도 청산,2026-02-16 14:24,L_10353,68384.4,0.004,274.8408,1527.05,0.37,1730.02,0.42,-1146.57,-0.28,-43562.76,-0.87
26,매도 진입,2026-02-16 13:18,S_10295,68710.2,0.004,274.8408,1527.05,0.37,1730.02,0.42,-1146.57,-0.28,-43562.76,-0.87
27,매수 청산,2026-02-16 18:35,S_10422,68983.1,0.004,273.5376,3146.18,0.77,3350.92,0.83,-1297.56,-0.32,-40619.3,-0.81
27,매수 진입,2026-02-16 14:24,L_10353,68384.4,0.004,273.5376,3146.18,0.77,3350.92,0.83,-1297.56,-0.32,-40619.3,-0.81
28,매수 청산,2026-02-16 18:35,S_10422,68983.1,0.004,273.208,3635.55,0.90,3840.29,0.95,-808.19,-0.20,-36781.04,-0.74
28,매수 진입,2026-02-16 14:38,L_10378,68302,0.004,273.208,3635.55,0.90,3840.29,0.95,-808.19,-0.20,-36781.04,-0.74
29,매도 청산,2026-02-17 00:31,L_10807,67815.3,0.004,275.9324,6526.04,1.59,6727.32,1.64,-6768.77,-1.65,-30874.67,-0.62
29,매도 진입,2026-02-16 18:35,S_10422,68983.1,0.004,275.9324,6526.04,1.59,6727.32,1.64,-6768.77,-1.65,-30874.67,-0.62
30,매도 청산,2026-02-17 00:31,L_10807,67815.3,0.004,277.6496,9073.09,2.20,9274.37,2.25,-4221.72,-1.02,-21595.56,-0.43
30,매도 진입,2026-02-16 21:26,S_10409,69412.4,0.004,277.6496,9073.09,2.20,9274.37,2.25,-4221.72,-1.02,-21595.56,-0.43
31,매도 청산,2026-02-17 00:31,L_10807,67815.3,0.004,277.6564,9083.18,2.20,9284.46,2.25,-4211.63,-1.02,-12306.36,-0.25
31,매도 진입,2026-02-16 21:26,S_9468,69414.1,0.004,277.6564,9083.18,2.20,9284.46,2.25,-4211.63,-1.02,-12306.36,-0.25
32,매도 청산,2026-02-17 00:31,L_10807,67815.3,0.004,279.8448,12329.14,2.97,12530.42,3.02,-965.67,-0.23,230.43,0.00
32,매도 진입,2026-02-16 22:02,S_10765,69961.2,0.004,279.8448,12329.14,2.97,12530.42,3.02,-965.67,-0.23,230.43,0.00
33,매수 청산,2026-02-17 03:07,S_11025,68048.1,0.004,271.2612,978.66,0.24,1180.63,0.29,-3631.69,-0.90,1009.1,0.02
33,매수 진입,2026-02-17 00:31,L_10807,67815.3,0.004,271.2612,978.66,0.24,1180.63,0.29,-3631.69,-0.90,1009.1,0.02
34,매수 청산,2026-02-17 03:07,S_11025,68048.1,0.004,269.5196,3564.48,0.89,3766.45,0.94,-1045.86,-0.26,4773.57,0.10
34,매수 진입,2026-02-17 00:32,L_8886,67379.9,0.004,269.5196,3564.48,0.89,3766.45,0.94,-1045.86,-0.26,4773.57,0.10
35,매도 청산,2026-02-17 20:08,L_11325,67661.9,0.004,272.1924,1885.47,0.47,2085.88,0.52,-7240.27,-1.80,6659.04,0.13
35,매도 진입,2026-02-17 03:07,S_11025,68048.1,0.004,272.1924,1885.47,0.47,2085.88,0.52,-7240.27,-1.80,6659.04,0.13
36,매수 청산,2026-02-18 15:45,S_13016,67935.1,0.004,270.6476,1215.84,0.30,3775.18,0.94,-6692.53,-1.67,7675.6,0.15
36,매수 진입,2026-02-17 20:08,L_11325,67661.9,0.004,270.6476,1215.84,0.30,3775.18,0.94,-6692.53,-1.67,7675.6,0.15
37,매수 청산,2026-02-18 15:45,S_13016,67935.1,0.004,269.1168,3482.56,0.87,5332.55,1.34,-4424.28,-1.11,11357.44,0.23
37,매수 진입,2026-02-17 23:41,L_11342,67279.2,0.004,269.1168,3482.56,0.87,5332.55,1.34,-4424.28,-1.11,11357.44,0.23
38,매도 청산,2026-02-18 20:07,L_13469,67565.5,0.004,271.7404,1786.95,0.44,1986.94,0.49,-3172.34,-0.79,13144.39,0.26
38,매도 진입,2026-02-18 15:45,S_13016,67935.1,0.004,271.7404,1786.95,0.44,1986.94,0.49,-3172.34,-0.79,13144.39,0.26
39,매수 청산,2026-02-19 00:37,S_13798,67816.9,0.004,270.262,1087.56,0.27,1288.29,0.32,-5433.87,-1.36,14032.92,0.28
39,매수 진입,2026-02-18 20:07,L_13469,67565.5,0.004,270.262,1087.56,0.27,1288.29,0.32,-5433.87,-1.36,14032.92,0.28
40,매수 청산,2026-02-19 00:37,S_13798,67816.9,0.004,268.9472,3034.43,0.76,3235.17,0.81,-3486.99,-0.88,17266.38,0.35
40,매수 진입,2026-02-18 20:08,L_13432,67236.8,0.004,268.9472,3034.43,0.76,3235.17,0.81,-3486.99,-0.88,17266.38,0.35
