거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
57,매수 청산,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004026,271.8914814,75.96,0.02,1415.61,0.35,-2697.39,-0.67,76963.98,1.54
57,매수 진입,2026-02-22 22:41:00,ICE_L_12986,67533.9,0.004026,271.8914814,75.96,0.02,1415.61,0.35,-2697.39,-0.67,76963.98,1.54
58,매수 청산,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004028,271.877916,294.74,0.07,1635.06,0.41,-2479.98,-0.62,77458.69,1.55
58,매수 진입,2026-02-22 23:04:30,ICE_L_10577,67497,0.004028,271.877916,294.74,0.07,1635.06,0.41,-2479.98,-0.62,77458.69,1.55
59,매수 청산,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004029,271.9006911,360.64,0.09,1701.29,0.43,-2414.78,-0.60,78019.3,1.56
59,매수 진입,2026-02-22 23:04:30,ICE_L_9441,67485.9,0.004029,271.9006911,360.64,0.09,1701.29,0.43,-2414.78,-0.60,78019.3,1.56
60,매수 청산,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004036,271.8685924,1103.75,0.28,2446.74,0.61,-1676.48,-0.42,79323.02,1.59
60,매수 진입,2026-02-22 23:43:30,ICE_L_13056,67360.9,0.004036,271.8685924,1103.75,0.28,2446.74,0.61,-1676.48,-0.42,79323.02,1.59
61,매수 청산,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004036,271.88514,1079.4,0.27,1280.11,0.32,-1700.83,-0.43,80602.39,1.61
61,매수 진입,2026-02-23 02:32:00,ICE_L_13459,67365,0.004036,271.88514,1079.4,0.27,1280.11,0.32,-1700.83,-0.43,80602.39,1.61
62,매도 청산,2026-02-23 09:35:00,ICE_L_14189,67246.2,0.004021,271.8771003,1779.77,0.44,1978.79,0.49,-884.32,-0.22,82382.16,1.65
62,매도 진입,2026-02-23 07:22:00,ICE_S_14139,67614.3,0.004021,271.8771003,1779.77,0.44,1978.79,0.49,-884.32,-0.22,82382.16,1.65
63,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.00404,271.674648,-14241.48,-3.56,221.09,0.06,-18125.04,-4.53,65741.01,1.31
63,매수 진입,2026-02-23 09:35:00,ICE_L_14189,67246.2,0.00404,271.674648,-14241.48,-3.56,221.09,0.06,-18125.04,-4.53,65741.01,1.31
64,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.00405,271.735965,-13376.68,-3.34,72.45,0.02,-17269.85,-4.32,52564.33,1.05
64,매수 진입,2026-02-23 09:45:00,ICE_L_13751,67095.3,0.00405,271.735965,-13376.68,-3.34,72.45,0.02,-17269.85,-4.32,52564.33,1.05
65,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.00406,271.674088,-12330.44,-3.08,0,0.00,-16233.22,-4.06,40433.84,0.81
65,매수 진입,2026-02-23 09:58:00,ICE_L_13165,66914.8,0.00406,271.674088,-12330.44,-3.08,0,0.00,-16233.22,-4.06,40433.84,0.81
66,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004066,271.6884936,-11778.59,-2.94,0,0.00,-15687.14,-3.92,28855.21,0.58
66,매수 진입,2026-02-23 09:58:00,ICE_L_13301,66819.6,0.004066,271.6884936,-11778.59,-2.94,0,0.00,-15687.14,-3.92,28855.21,0.58
67,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004095,271.6831845,-9000.96,-2.25,377.51,0.09,-12937.39,-3.23,20054.21,0.40
67,매수 진입,2026-02-23 10:01:00,ICE_L_5595,66345.1,0.004095,271.6831845,-9000.96,-2.25,377.51,0.09,-12937.39,-3.23,20054.21,0.40
68,매수 청산,2026-02-23 14:07:00,ICE_S_15003,64917.5,0.004099,271.7071338,-8654.19,-2.16,733.44,0.18,-12594.46,-3.15,11600,0.23
