거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
70,매수 청산,2026-02-22 15:27:00,S_17983,68036.1,0.009,611.5725,206.3,0.02,2719.3,0.30,-2998.62,-0.33,197570.72,3.95
70,매수 진입,2026-02-22 07:43:00,L_15962,67952.5,0.009,611.5725,206.3,0.02,2719.3,0.30,-2998.62,-0.33,197570.72,3.95
71,매수 청산,2026-02-22 15:27:00,S_17983,68036.1,0.009,610.0353,2468.96,0.27,4981.96,0.55,-735.97,-0.08,200488.36,4.01
71,매수 진입,2026-02-22 09:25:30,L_16152,67781.7,0.009,610.0353,2468.96,0.27,4981.96,0.55,-735.97,-0.08,200488.36,4.01
72,매수 청산,2026-02-22 15:27:00,S_17983,68036.1,0.009,611.5086,300.65,0.03,1014.47,0.11,-2374.71,-0.26,201238.77,4.02
72,매수 진입,2026-02-22 11:41:00,L_17505,67945.4,0.009,611.5086,300.65,0.03,1014.47,0.11,-2374.71,-0.26,201238.77,4.02
73,매도 청산,2026-02-22 17:23:00,L_18018,67952.9,0.009,612.3249,201.31,0.02,651.12,0.07,-2044.34,-0.23,201440.08,4.03
73,매도 진입,2026-02-22 15:27:00,S_17983,68036.1,0.009,612.3249,201.31,0.02,651.12,0.07,-2044.34,-0.23,201440.08,4.03
74,매수 청산,2026-02-23 06:38:30,S_19511,67550,0.009,611.5761,-6230.95,-0.69,3112.8,0.35,-11579.84,-1.29,193410.19,3.87
74,매수 진입,2026-02-22 17:23:00,L_18018,67952.9,0.009,611.5761,-6230.95,-0.69,3112.8,0.35,-11579.84,-1.29,193410.19,3.87
75,매수 청산,2026-02-23 06:38:30,S_19511,67550,0.009,612.3672,-7395.24,-0.82,0,0.00,-12744.13,-1.41,186465.34,3.73
75,매수 진입,2026-02-22 21:05:30,L_18725,68040.8,0.009,612.3672,-7395.24,-0.82,0,0.00,-12744.13,-1.41,186465.34,3.73
76,매수 청산,2026-02-23 06:38:30,S_19511,67550,0.009,611.9829,-6829.66,-0.76,507.07,0.06,-12178.54,-1.35,180085.8,3.60
76,매수 진입,2026-02-22 21:06:30,L_18620,67998.1,0.009,611.9829,-6829.66,-0.76,507.07,0.06,-12178.54,-1.35,180085.8,3.60
77,매수 청산,2026-02-23 06:38:30,S_19511,67550,0.009,610.7985,-5086.53,-0.57,1435.99,0.16,-10435.42,-1.16,175448.5,3.51
77,매수 진입,2026-02-22 21:44:30,L_18549,67866.5,0.009,610.7985,-5086.53,-0.57,1435.99,0.16,-10435.42,-1.16,175448.5,3.51
78,매수 청산,2026-02-23 06:38:30,S_19511,67550,0.009,610.7121,-4959.37,-0.55,1563.15,0.17,-10308.26,-1.15,170938.31,3.42
78,매수 진입,2026-02-22 21:44:30,L_18397,67856.9,0.009,610.7121,-4959.37,-0.55,1563.15,0.17,-10308.26,-1.15,170938.31,3.42
79,매도 청산,2026-02-23 07:09:30,L_19899,67489.4,0.009,607.95,-91.61,-0.01,355.14,0.04,-1134.25,-0.13,170846.7,3.42
79,매도 진입,2026-02-23 06:38:30,S_19511,67550,0.009,607.95,-91.61,-0.01,355.14,0.04,-1134.25,-0.13,170846.7,3.42
80,매수 청산,2026-02-23 07:48:00,S_19949,67716.5,0.009,607.4046,2111.58,0.24,2559.83,0.29,-1054.42,-0.12,172958.28,3.46
80,매수 진입,2026-02-23 07:09:30,L_19899,67489.4,0.009,607.4046,2111.58,0.24,2559.83,0.29,-1054.42,-0.12,172958.28,3.46
81,매도 청산,2026-02-23 09:45:00,L_20019,67134.7,0.009,609.4485,6814.74,0.76,7259.44,0.81,-626.98,-0.07,179773.02,3.60
81,매도 진입,2026-02-23 07:48:00,S_19949,67716.5,0.009,609.4485,6814.74,0.76,7259.44,0.81,-626.98,-0.07,179773.02,3.60
82,매수 청산,2026-02-23 10:07:30,Margin call,65782.6,0.004616,309.8937752,-9638.75,-2.11,0,0.00,-9415.27,-2.06,167717.9,3.35
82,매수 진입,2026-02-23 09:45:00,L_20019,67134.7,0.004616,309.8937752,-9638.75,-2.11,0,0.00,-9415.27,-2.06,167717.9,3.35
83,매수 청산,2026-02-23 14:05:00,S_20726,64851.2,0.004384,294.3185248,-15161.86,-3.50,0,0.00,-18948.46,-4.37,152772.66,3.06
83,매수 진입,2026-02-23 09:45:00,L_20019,67134.7,0.004384,294.3185248,-15161.86,-3.50,0,0.00,-18948.46,-4.37,152772.66,3.06
84,매수 청산,2026-02-23 14:05:00,S_20726,64851.2,0.018,1208.3094,-62082.51,-3.49,0,0.00,-77629.68,-4.36,91579.47,1.83
84,매수 진입,2026-02-23 09:45:00,L_19875,67128.3,0.018,1208.3094,-62082.51,-3.49,0,0.00,-77629.68,-4.36,91579.47,1.83
85,매수 청산,2026-02-23 14:05:00,S_20726,64851.2,0.009,596.2059,-19334.77,-2.20,2155.15,0.25,-27108.35,-3.09,72683.51,1.45
85,매수 진입,2026-02-23 10:01:30,L_11559,66245.1,0.009,596.2059,-19334.77,-2.20,2155.15,0.25,-27108.35,-3.09,72683.51,1.45
86,매수 청산,2026-02-23 14:05:00,S_20726,64851.2,0.009,592.1946,-13427.18,-1.54,129.83,0.01,-21200.77,-2.43,59692.18,1.19
86,매수 진입,2026-02-23 10:07:30,L_12193,65799.4,0.009,592.1946,-13427.18,-1.54,129.83,0.01,-21200.77,-2.43,59692.18,1.19
87,매수 청산,2026-02-23 14:05:00,S_20726,64851.2,0.009,592.0686,-13241.62,-1.52,315.4,0.04,-21015.2,-2.41,46886.32,0.94
87,매수 진입,2026-02-23 10:07:30,L_10644,65785.4,0.009,592.0686,-13241.62,-1.52,315.4,0.04,-21015.2,-2.41,46886.32,0.94
88,매도 청산,2026-02-23 14:31:28,오픈,65021,0.009,583.6608,-3109.78,-0.36,0,0.00,-4891.5,-0.57,43346.97,0.87
88,매도 진입,2026-02-23 14:05:00,S_20726,64851.2,0.009,583.6608,-3109.78,-0.36,0,0.00,-4891.5,-0.57,43346.97,0.87
