거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매수 청산,2026-02-16 13:18:00,S_427,68669.4,0.004,274.7572,-525.81,-0.13,1690.9,0.41,-3566.02,-0.87,-729.19,-0.01
1,매수 진입,2026-02-16 09:45:00,L_30,68689.3,0.004,274.7572,-525.81,-0.13,1690.9,0.41,-3566.02,-0.87,-729.19,-0.01
2,매수 청산,2026-02-16 13:18:00,S_427,68669.4,0.004,274.0948,457.69,0.11,880.54,0.22,-2582.53,-0.63,-68.12,0.00
2,매수 진입,2026-02-16 10:35:30,L_37,68523.7,0.004,274.0948,457.69,0.11,880.54,0.22,-2582.53,-0.63,-68.12,0.00
3,매도 청산,2026-02-16 14:37:00,L_593,68349.7,0.004,274.6776,1491.07,0.37,1693.93,0.42,-1388.64,-0.34,1422.95,0.03
3,매도 진입,2026-02-16 13:18:00,S_427,68669.4,0.004,274.6776,1491.07,0.37,1693.93,0.42,-1388.64,-0.34,1422.95,0.03
4,매수 청산,2026-02-16 21:26:00,S_178,69221.8,0.004,273.3988,4768.47,1.17,4973.92,1.23,-1091.48,-0.27,5988.89,0.12
4,매수 진입,2026-02-16 14:37:00,L_593,68349.7,0.004,273.3988,4768.47,1.17,4973.92,1.23,-1091.48,-0.27,5988.89,0.12
5,매수 청산,2026-02-16 21:26:00,S_178,69221.8,0.004,272.952,5431.86,1.34,5637.31,1.39,-428.1,-0.11,11623.28,0.23
5,매수 진입,2026-02-16 15:20:00,L_501,68238,0.004,272.952,5431.86,1.34,5637.31,1.39,-428.1,-0.11,11623.28,0.23
6,매도 청산,2026-02-16 22:38:00,L_1461,68415.1,0.004,276.8872,4380.06,1.07,4583.12,1.11,-5352.56,-1.30,15386.22,0.31
6,매도 진입,2026-02-16 21:26:00,S_178,69221.8,0.004,276.8872,4380.06,1.07,4583.12,1.11,-5352.56,-1.30,15386.22,0.31
7,매도 청산,2026-02-16 22:38:00,L_1461,68415.1,0.012,831.702,14683.38,1.19,15292.54,1.24,-14514.49,-1.18,30686.72,0.61
7,매도 진입,2026-02-16 21:26:00,S_1255,69308.5,0.012,831.702,14683.38,1.19,15292.54,1.24,-14514.49,-1.18,30686.72,0.61
8,매수 청산,2026-02-17 03:07:30,S_1887,68041,0.004,273.6604,-2625.66,-0.65,1401.44,0.34,-7193.88,-1.77,28061.06,0.56
8,매수 진입,2026-02-16 22:38:00,L_1461,68415.1,0.004,273.6604,-2625.66,-0.65,1401.44,0.34,-7193.88,-1.77,28061.06,0.56
9,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.004,272.164,-3160.71,-0.78,1339.63,0.33,-6034.72,-1.50,24291.11,0.49
9,매도 진입,2026-02-17 03:07:30,S_1887,68041,0.004,272.164,-3160.71,-0.78,1339.63,0.33,-6034.72,-1.50,24291.11,0.49
10,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.004,272.5744,-2553.21,-0.63,254.23,0.06,-5427.22,-1.34,21940.15,0.44
10,매도 진입,2026-02-17 05:27:30,S_2415,68143.6,0.004,272.5744,-2553.21,-0.63,254.23,0.06,-5427.22,-1.34,21940.15,0.44
11,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.004,273.1148,-1753.28,-0.43,0,0.00,-4627.29,-1.14,20389.53,0.41
11,매도 진입,2026-02-17 05:52:00,S_2077,68278.7,0.004,273.1148,-1753.28,-0.43,0,0.00,-4627.29,-1.14,20389.53,0.41
12,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.004,275.388,1611.65,0.39,2019.88,0.49,-1262.36,-0.31,22205.51,0.44
12,매도 진입,2026-02-17 06:58:00,S_1842,68847,0.004,275.388,1611.65,0.39,2019.88,0.49,-1262.36,-0.31,22205.51,0.44
13,매수 청산,2026-02-17 16:37:30,S_3786,68322.9,0.004,274.0248,-1491.16,-0.37,4121.6,1.02,-4051.74,-1.00,20511.53,0.41
13,매수 진입,2026-02-17 11:02:00,L_2873,68506.2,0.004,274.0248,-1491.16,-0.37,4121.6,1.02,-4051.74,-1.00,20511.53,0.41
14,매수 청산,2026-02-17 16:37:30,S_3786,68322.9,0.004,273.8996,-1305.64,-0.32,4307.12,1.06,-3866.22,-0.95,19408.71,0.39
14,매수 진입,2026-02-17 11:02:30,L_2866,68474.9,0.004,273.8996,-1305.64,-0.32,4307.12,1.06,-3866.22,-0.95,19408.71,0.39
15,매도 청산,2026-02-17 19:16:30,L_2123,67780.3,0.004,273.2916,2811.22,0.69,3011.99,0.74,-972.49,-0.24,22219.94,0.44
15,매도 진입,2026-02-17 16:37:30,S_3786,68322.9,0.004,273.2916,2811.22,0.69,3011.99,0.74,-972.49,-0.24,22219.94,0.44
16,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.004,271.1212,-487.39,-0.12,3073.43,0.77,-7394.28,-1.84,21332.54,0.43
16,매수 진입,2026-02-17 19:16:30,L_2123,67780.3,0.004,271.1212,-487.39,-0.12,3073.43,0.77,-7394.28,-1.84,21332.54,0.43
17,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.004,270.6476,214.37,0.05,3775.18,0.94,-6692.53,-1.67,21747.32,0.43
17,매수 진입,2026-02-17 20:08:00,L_2488,67661.9,0.004,270.6476,214.37,0.05,3775.18,0.94,-6692.53,-1.67,21747.32,0.43
18,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.004,269.5472,1844.87,0.46,2045.6,0.51,-5062.02,-1.27,23791.79,0.48
18,매수 진입,2026-02-17 23:40:30,L_2110,67386.8,0.004,269.5472,1844.87,0.46,2045.6,0.51,-5062.02,-1.27,23791.79,0.48
19,매도 청산,2026-02-18 08:08:30,L_5588,67398.3,0.004,271.0632,1776.71,0.44,5249.95,1.31,-2849.93,-0.71,25568.51,0.51
19,매도 진입,2026-02-18 01:02:00,S_4664,67765.8,0.004,271.0632,1776.71,0.44,5249.95,1.31,-2849.93,-0.71,25568.51,0.51
20,매수 청산,2026-02-18 11:37:00,S_5950,67394.3,0.004,269.5932,-422.8,-0.11,985.55,0.25,-3386.37,-0.85,25145.71,0.50
20,매수 진입,2026-02-18 08:08:30,L_5588,67398.3,0.004,269.5932,-422.8,-0.11,985.55,0.25,-3386.37,-0.85,25145.71,0.50
21,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.004,269.5772,-2082.87,-0.52,749.49,0.19,-3193.23,-0.80,22462.31,0.45
21,매도 진입,2026-02-18 11:37:00,S_5950,67394.3,0.004,269.5772,-2082.87,-0.52,749.49,0.19,-3193.23,-0.80,22462.31,0.45
22,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.004,269.9552,-1523.71,-0.38,30.52,0.01,-2634.07,-0.66,21138.37,0.42
22,매도 진입,2026-02-18 12:27:00,S_5906,67488.8,0.004,269.9552,-1523.71,-0.38,30.52,0.01,-2634.07,-0.66,21138.37,0.42
23,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.004,269.9664,-1507.14,-0.38,47.09,0.01,-2617.5,-0.65,19831,0.40
23,매도 진입,2026-02-18 12:27:00,S_5865,67491.6,0.004,269.9664,-1507.14,-0.38,47.09,0.01,-2617.5,-0.65,19831,0.40
24,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.004,271.594,900.5,0.22,1100.83,0.27,-209.86,-0.05,20932.48,0.42
24,매도 진입,2026-02-18 14:21:00,S_5465,67898.5,0.004,271.594,900.5,0.22,1100.83,0.27,-209.86,-0.05,20932.48,0.42
25,매수 청산,2026-02-18 15:43:30,S_6456,67889,0.004,270.7144,844.29,0.21,1045.24,0.26,-894.74,-0.22,21776.77,0.44
25,매수 진입,2026-02-18 14:29:30,L_6405,67678.6,0.004,270.7144,844.29,0.21,1045.24,0.26,-894.74,-0.22,21776.77,0.44
26,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.004,271.556,3332.52,0.83,3531.61,0.88,-3445.11,-0.86,24705.12,0.49
26,매도 진입,2026-02-18 15:43:30,S_6456,67889,0.004,271.556,3332.52,0.83,3531.61,0.88,-3445.11,-0.86,24705.12,0.49
27,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.004,272.52,4758.53,1.18,4957.62,1.23,-2019.1,-0.50,29665.31,0.59
27,매도 진입,2026-02-18 16:47:00,S_6628,68130,0.004,272.52,4758.53,1.18,4957.62,1.23,-2019.1,-0.50,29665.31,0.59
28,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.004,273.6592,6443.7,1.59,6642.79,1.64,-333.93,-0.08,36311.52,0.73
28,매도 진입,2026-02-18 17:18:30,S_6431,68414.8,0.004,273.6592,6443.7,1.59,6642.79,1.64,-333.93,-0.08,36311.52,0.73
