Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L KRW,Net P&L %,Favorable excursion KRW,Favorable excursion %,Adverse excursion KRW,Adverse excursion %,Cumulative P&L KRW,Cumulative P&L %
18,Entry short,2026-02-14 17:06,S_2670,69576.9,0.004,278.3076,-1207.46,-0.29,2038.54,0.50,-8170.29,-1.99,-42982.25,-0.86
19,Exit short,2026-02-15 21:51,L_9038,69712.4,0.004,279.0776,-73.81,-0.02,3165.26,0.77,-7036.65,-1.71,-42851.78,-0.86
19,Entry short,2026-02-14 17:06,S_3155,69769.4,0.004,279.0776,-73.81,-0.02,3165.26,0.77,-7036.65,-1.71,-42851.78,-0.86
20,Exit short,2026-02-15 21:51,L_9038,69712.4,0.004,279.4088,413.8,0.10,3649.89,0.89,-6549.03,-1.59,-42233.45,-0.84
20,Entry short,2026-02-14 18:03,S_2745,69852.2,0.004,279.4088,413.8,0.10,3649.89,0.89,-6549.03,-1.59,-42233.45,-0.84
21,Exit short,2026-02-15 21:51,L_9038,69712.4,0.004,280.4424,1935.54,0.47,5162.33,1.26,-5027.3,-1.22,-40092.63,-0.80
21,Entry short,2026-02-14 20:13,S_2570,70110.6,0.004,280.4424,1935.54,0.47,5162.33,1.26,-5027.3,-1.22,-40092.63,-0.80
22,Exit short,2026-02-15 21:51,L_9038,69712.4,0.004,281.2176,3076.84,0.74,6296.65,1.53,-3885.99,-0.94,-36809.94,-0.74
22,Entry short,2026-02-14 20:21,S_5233,70304.4,0.004,281.2176,3076.84,0.74,6296.65,1.53,-3885.99,-0.94,-36809.94,-0.74
23,Exit long,2026-02-16 13:18,S_10295,68710.2,0.004,278.8496,-6358.36,-1.54,440.98,0.11,-10080.36,-2.45,-43573.69,-0.87
23,Entry long,2026-02-15 21:51,L_9038,69712.4,0.004,278.8496,-6358.36,-1.54,440.98,0.11,-10080.36,-2.45,-43573.69,-0.87
24,Exit long,2026-02-16 13:18,S_10295,68710.2,0.004,277.9748,-5059.52,-1.23,406.27,0.10,-8791.14,-2.15,-48428.48,-0.97
24,Entry long,2026-02-15 21:55,L_9101,69493.7,0.004,277.9748,-5059.52,-1.23,406.27,0.10,-8791.14,-2.15,-48428.48,-0.97
25,Exit long,2026-02-16 13:18,S_10295,68710.2,0.004,272.4536,3138.01,0.78,5363.74,1.33,-654.35,-0.16,-45089.81,-0.90
25,Entry long,2026-02-16 04:05,L_7885,68113.4,0.004,272.4536,3138.01,0.78,5363.74,1.33,-654.35,-0.16,-45089.81,-0.90
26,Exit short,2026-02-16 14:24,L_10353,68384.4,0.004,274.8408,1527.05,0.37,1730.02,0.42,-1146.57,-0.28,-43562.76,-0.87
26,Entry short,2026-02-16 13:18,S_10295,68710.2,0.004,274.8408,1527.05,0.37,1730.02,0.42,-1146.57,-0.28,-43562.76,-0.87
27,Exit long,2026-02-16 18:35,S_10422,68983.1,0.004,273.5376,3146.18,0.77,3350.92,0.83,-1297.56,-0.32,-40619.3,-0.81
27,Entry long,2026-02-16 14:24,L_10353,68384.4,0.004,273.5376,3146.18,0.77,3350.92,0.83,-1297.56,-0.32,-40619.3,-0.81
28,Exit long,2026-02-16 18:35,S_10422,68983.1,0.004,273.208,3635.55,0.90,3840.29,0.95,-808.19,-0.20,-36781.04,-0.74
28,Entry long,2026-02-16 14:38,L_10378,68302,0.004,273.208,3635.55,0.90,3840.29,0.95,-808.19,-0.20,-36781.04,-0.74
29,Exit short,2026-02-17 00:31,L_10807,67815.3,0.004,275.9324,6526.04,1.59,6727.32,1.64,-6768.77,-1.65,-30874.67,-0.62
29,Entry short,2026-02-16 18:35,S_10422,68983.1,0.004,275.9324,6526.04,1.59,6727.32,1.64,-6768.77,-1.65,-30874.67,-0.62
30,Exit short,2026-02-17 00:31,L_10807,67815.3,0.004,277.6496,9073.09,2.20,9274.37,2.25,-4221.72,-1.02,-21595.56,-0.43
30,Entry short,2026-02-16 21:26,S_10409,69412.4,0.004,277.6496,9073.09,2.20,9274.37,2.25,-4221.72,-1.02,-21595.56,-0.43
31,Exit short,2026-02-17 00:31,L_10807,67815.3,0.004,277.6564,9083.18,2.20,9284.46,2.25,-4211.63,-1.02,-12306.36,-0.25
31,Entry short,2026-02-16 21:26,S_9468,69414.1,0.004,277.6564,9083.18,2.20,9284.46,2.25,-4211.63,-1.02,-12306.36,-0.25
32,Exit short,2026-02-17 00:31,L_10807,67815.3,0.004,279.8448,12329.14,2.97,12530.42,3.02,-965.67,-0.23,230.43,0.00
32,Entry short,2026-02-16 22:02,S_10765,69961.2,0.004,279.8448,12329.14,2.97,12530.42,3.02,-965.67,-0.23,230.43,0.00
33,Exit long,2026-02-17 03:07,S_11025,68048.1,0.004,271.2612,978.66,0.24,1180.63,0.29,-3631.69,-0.90,1009.1,0.02
33,Entry long,2026-02-17 00:31,L_10807,67815.3,0.004,271.2612,978.66,0.24,1180.63,0.29,-3631.69,-0.90,1009.1,0.02
34,Exit long,2026-02-17 03:07,S_11025,68048.1,0.004,269.5196,3564.48,0.89,3766.45,0.94,-1045.86,-0.26,4773.57,0.10
34,Entry long,2026-02-17 00:32,L_8886,67379.9,0.004,269.5196,3564.48,0.89,3766.45,0.94,-1045.86,-0.26,4773.57,0.10
35,Exit short,2026-02-17 20:08,L_11325,67661.9,0.004,272.1924,1885.47,0.47,2085.88,0.52,-7240.27,-1.80,6659.04,0.13
35,Entry short,2026-02-17 03:07,S_11025,68048.1,0.004,272.1924,1885.47,0.47,2085.88,0.52,-7240.27,-1.80,6659.04,0.13
36,Exit long,2026-02-18 15:45,S_13016,67935.1,0.004,270.6476,1215.84,0.30,3775.18,0.94,-6692.53,-1.67,7675.6,0.15
36,Entry long,2026-02-17 20:08,L_11325,67661.9,0.004,270.6476,1215.84,0.30,3775.18,0.94,-6692.53,-1.67,7675.6,0.15
37,Exit long,2026-02-18 15:45,S_13016,67935.1,0.004,269.1168,3482.56,0.87,5332.55,1.34,-4424.28,-1.11,11357.44,0.23
37,Entry long,2026-02-17 23:41,L_11342,67279.2,0.004,269.1168,3482.56,0.87,5332.55,1.34,-4424.28,-1.11,11357.44,0.23
38,Exit short,2026-02-18 20:07,L_13469,67565.5,0.004,271.7404,1786.95,0.44,1986.94,0.49,-3172.34,-0.79,13144.39,0.26
38,Entry short,2026-02-18 15:45,S_13016,67935.1,0.004,271.7404,1786.95,0.44,1986.94,0.49,-3172.34,-0.79,13144.39,0.26
39,Exit long,2026-02-19 00:37,S_13798,67816.9,0.004,270.262,1087.56,0.27,1288.29,0.32,-5433.87,-1.36,14032.92,0.28
39,Entry long,2026-02-18 20:07,L_13469,67565.5,0.004,270.262,1087.56,0.27,1288.29,0.32,-5433.87,-1.36,14032.92,0.28
40,Exit long,2026-02-19 00:37,S_13798,67816.9,0.004,268.9472,3034.43,0.76,3235.17,0.81,-3486.99,-0.88,17266.38,0.35
40,Entry long,2026-02-18 20:08,L_13432,67236.8,0.004,268.9472,3034.43,0.76,3235.17,0.81,-3486.99,-0.88,17266.38,0.35
41,Exit short,2026-02-19 03:42,L_12478,66581.9,0.004,271.2676,6913.38,1.72,7110.46,1.77,-3210.47,-0.80,23977.91,0.48
41,Entry short,2026-02-19 00:37,S_13798,67816.9,0.004,271.2676,6913.38,1.72,7110.46,1.77,-3210.47,-0.80,23977.91,0.48
42,Exit short,2026-02-19 03:42,L_12478,66581.9,0.004,272.7644,9127.54,2.26,9324.62,2.31,-996.31,-0.25,33307.29,0.67
42,Entry short,2026-02-19 00:40,S_13593,68191.1,0.004,272.7644,9127.54,2.26,9324.62,2.31,-996.31,-0.25,33307.29,0.67
43,Exit long,2026-02-19 23:54,S_15233,66598.7,0.004,266.3276,-295.02,-0.07,4006.79,1.01,-6025.64,-1.52,32622.01,0.65
43,Entry long,2026-02-19 03:42,L_12478,66581.9,0.004,266.3276,-295.02,-0.07,4006.79,1.01,-6025.64,-1.52,32622.01,0.65
44,Exit long,2026-02-19 23:54,S_15233,66598.7,0.004,263.1644,4400.98,1.13,4598.65,1.18,-1329.64,-0.34,37218.25,0.74
44,Entry long,2026-02-19 22:49,L_6196,65791.1,0.004,263.1644,4400.98,1.13,4598.65,1.18,-1329.64,-0.34,37218.25,0.74
45,Exit long,2026-02-19 23:54,S_15233,66598.7,0.004,262.7952,4949.15,1.27,5146.81,1.32,-781.47,-0.20,42362.4,0.85
45,Entry long,2026-02-19 23:34,L_12637,65698.8,0.004,262.7952,4949.15,1.27,5146.81,1.32,-781.47,-0.20,42362.4,0.85
46,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,266.3948,-477.36,-0.12,4181.92,1.06,-10164.53,-2.59,40889.76,0.82
46,Entry short,2026-02-19 23:54,S_15233,66598.7,0.004,266.3948,-477.36,-0.12,4181.92,1.06,-10164.53,-2.59,40889.76,0.82
47,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,268.5448,2692.29,0.68,2888.8,0.73,-6994.88,-1.77,43781.31,0.88
47,Entry short,2026-02-20 04:07,S_15202,67136.2,0.004,268.5448,2692.29,0.68,2888.8,0.73,-6994.88,-1.77,43781.31,0.88
48,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,268.4952,2620.38,0.66,2816.88,0.71,-7066.8,-1.78,46599.71,0.93
48,Entry short,2026-02-20 09:14,S_15759,67123.8,0.004,268.4952,2620.38,0.66,2816.88,0.71,-7066.8,-1.78,46599.71,0.93
49,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,269.0512,3440.07,0.87,3636.57,0.92,-6247.11,-1.57,50238.2,1.00
49,Entry short,2026-02-20 09:26,S_15117,67262.8,0.004,269.0512,3440.07,0.87,3636.57,0.92,-6247.11,-1.57,50238.2,1.00
50,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,270.2704,5237.49,1.31,5434,1.36,-4449.68,-1.12,55675.01,1.11
50,Entry short,2026-02-20 14:32,S_14142,67567.6,0.004,270.2704,5237.49,1.31,5434,1.36,-4449.68,-1.12,55675.01,1.11
51,Exit short,2026-02-20 22:39,L_16049,66612.8,0.004,271.522,7082.68,1.77,7279.18,1.82,-2604.5,-0.65,62957.93,1.26
51,Entry short,2026-02-20 14:35,S_15009,67880.5,0.004,271.522,7082.68,1.77,7279.18,1.82,-2604.5,-0.65,62957.93,1.26
52,Exit long,2026-02-21 07:33,S_16889,68039.8,0.004,266.4512,8022.07,2.04,8425.75,2.14,-1286.24,-0.33,70783.95,1.42
52,Entry long,2026-02-20 22:39,L_16049,66612.8,0.004,266.4512,8022.07,2.04,8425.75,2.14,-1286.24,-0.33,70783.95,1.42
53,Exit long,2026-02-21 07:33,S_16889,68039.8,0.004,265.8512,8907.52,2.27,9311.19,2.37,-400.8,-0.10,79887.52,1.60
53,Entry long,2026-02-20 22:40,L_15869,66462.8,0.004,265.8512,8907.52,2.27,9311.19,2.37,-400.8,-0.10,79887.52,1.60
54,Exit short,2026-02-21 12:41,L_17390,67566,0.004,272.1592,2390.1,0.60,2589.02,0.65,-1252.1,-0.31,82277.63,1.65
54,Entry short,2026-02-21 07:33,S_16889,68039.8,0.004,272.1592,2390.1,0.60,2589.02,0.65,-1252.1,-0.31,82277.63,1.65
55,Exit long,2026-02-21 18:21,S_17682,68169.9,0.004,270.264,3156.16,0.79,3356.85,0.84,-587.52,-0.15,85433.78,1.71
55,Entry long,2026-02-21 12:41,L_17390,67566,0.004,270.264,3156.16,0.79,3356.85,0.84,-587.52,-0.15,85433.78,1.71
56,Exit short,2026-02-22 07:58,L_18062,67808.1,0.004,272.6796,1729.96,0.43,1929.59,0.48,-3238.31,-0.81,86358.22,1.73
56,Entry short,2026-02-21 18:21,S_17682,68169.9,0.004,272.6796,1729.96,0.43,1929.59,0.48,-3238.31,-0.81,86358.22,1.73
57,Exit short,2026-02-22 07:58,L_18062,67808.1,0.004,273.3664,2740.42,0.68,2940.05,0.73,-2227.85,-0.55,89299.84,1.79
57,Entry short,2026-02-21 23:20,S_16563,68341.6,0.004,273.3664,2740.42,0.68,2940.05,0.73,-2227.85,-0.55,89299.84,1.79
58,Exit short,2026-02-22 07:58,L_18062,67808.1,0.004,273.4268,2829.29,0.70,3028.91,0.75,-2138.98,-0.53,92330.38,1.85
58,Entry short,2026-02-21 23:20,S_16552,68356.7,0.004,273.4268,2829.29,0.70,3028.91,0.75,-2138.98,-0.53,92330.38,1.85
59,Exit short,2026-02-22 07:58,L_18062,67808.1,0.004,273.688,3213.58,0.80,3413.21,0.85,-1754.69,-0.44,95745.39,1.91
59,Entry short,2026-02-21 23:20,S_16519,68422,0.004,273.688,3213.58,0.80,3413.21,0.85,-1754.69,-0.44,95745.39,1.91
60,Exit short,2026-02-22 07:58,L_18062,67808.1,0.004,273.9772,3639.07,0.90,3838.7,0.95,-1329.2,-0.33,99586.11,1.99
60,Entry short,2026-02-21 23:21,S_12158,68494.3,0.004,273.9772,3639.07,0.90,3838.7,0.95,-1329.2,-0.33,99586.11,1.99
61,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,271.2324,-12431.84,-3.11,2235.76,0.56,-21255.7,-5.32,85388.6,1.71
61,Entry long,2026-02-22 07:58,L_18062,67808.1,0.004,271.2324,-12431.84,-3.11,2235.76,0.56,-21255.7,-5.32,85388.6,1.71
62,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,270.9112,-11958.66,-3.00,264.99,0.07,-20782.53,-5.21,73629.2,1.47
62,Entry long,2026-02-22 22:35,L_19356,67727.8,0.004,270.9112,-11958.66,-3.00,264.99,0.07,-20782.53,-5.21,73629.2,1.47
63,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,270.7936,-11785.47,-2.96,438.07,0.11,-20609.33,-5.17,62042.9,1.24
63,Entry long,2026-02-22 22:35,L_17807,67698.4,0.004,270.7936,-11785.47,-2.96,438.07,0.11,-20609.33,-5.17,62042.9,1.24
64,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,270.7184,-11674.72,-2.93,548.74,0.14,-20498.58,-5.14,50567.29,1.01
64,Entry long,2026-02-22 22:35,L_18834,67679.6,0.004,270.7184,-11674.72,-2.93,548.74,0.14,-20498.58,-5.14,50567.29,1.01
65,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,270.6856,-11626.41,-2.92,597.02,0.15,-20450.28,-5.13,39139.96,0.78
65,Entry long,2026-02-22 22:35,L_17789,67671.4,0.004,270.6856,-11626.41,-2.92,597.02,0.15,-20450.28,-5.13,39139.96,0.78
66,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,269.1292,-9334.38,-2.36,6.23,0.00,-18158.25,-4.58,30003.66,0.60
66,Entry long,2026-02-23 09:33,L_20035,67282.3,0.004,269.1292,-9334.38,-2.36,6.23,0.00,-18158.25,-4.58,30003.66,0.60
67,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,264.2092,-2088.52,-0.54,2093.62,0.54,-10912.38,-2.80,28109.6,0.56
67,Entry long,2026-02-23 10:03,L_16193,66052.3,0.004,264.2092,-2088.52,-0.54,2093.62,0.54,-10912.38,-2.80,28109.6,0.56
68,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,263.5844,-1168.35,-0.30,0,0.00,-9992.22,-2.57,27135.25,0.54
68,Entry long,2026-02-23 10:07,L_15531,65896.1,0.004,263.5844,-1168.35,-0.30,0,0.00,-9992.22,-2.57,27135.25,0.54
69,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,261.3096,2181.83,0.57,2375.43,0.62,-6642.04,-1.73,29509.4,0.59
69,Entry long,2026-02-23 10:09,L_5705,65327.4,0.004,261.3096,2181.83,0.57,2375.43,0.62,-6642.04,-1.73,29509.4,0.59
70,Exit long,2026-02-23 15:54,S_20283,65763.5,0.004,258.402,6463.95,1.70,6657.56,1.75,-2359.91,-0.62,36163.53,0.72
70,Entry long,2026-02-23 10:47,L_5500,64600.5,0.004,258.402,6463.95,1.70,6657.56,1.75,-2359.91,-0.62,36163.53,0.72
71,Exit short,2026-02-23 23:40,L_20757,65680.6,0.004,263.054,101.14,0.03,1161.22,0.30,-4989.38,-1.29,36264.68,0.73
71,Entry short,2026-02-23 15:54,S_20283,65763.5,0.004,263.054,101.14,0.03,1161.22,0.30,-4989.38,-1.29,36264.68,0.73
72,Exit long,2026-02-24 10:43,Open,64284.2,0.004,262.7224,-8616.05,-2.22,2966.73,0.77,-13751.22,-3.55,26311.37,0.53
72,Entry long,2026-02-23 23:40,L_20757,65680.6,0.004,262.7224,-8616.05,-2.22,2966.73,0.77,-13751.22,-3.55,26311.37,0.53
73,Exit long,2026-02-24 10:43,Open,64284.2,0.004,261.6512,-7036.31,-1.82,1564.4,0.41,-12171.48,-3.15,27891.1,0.56
73,Entry long,2026-02-24 01:04,L_20750,65412.8,0.004,261.6512,-7036.31,-1.82,1564.4,0.41,-12171.48,-3.15,27891.1,0.56
74,Exit long,2026-02-24 10:43,Open,64284.2,0.004,261.1444,-6288.91,-1.63,2310.79,0.60,-11424.08,-2.97,28638.5,0.57
74,Entry long,2026-02-24 01:07,L_20584,65286.1,0.004,261.1444,-6288.91,-1.63,2310.79,0.60,-11424.08,-2.97,28638.5,0.57
75,Exit long,2026-02-24 10:43,Open,64284.2,0.004,260.7852,-5759.19,-1.50,2839.79,0.74,-10894.36,-2.83,29168.22,0.58
75,Entry long,2026-02-24 01:13,L_20715,65196.3,0.004,260.7852,-5759.19,-1.50,2839.79,0.74,-10894.36,-2.83,29168.22,0.58
76,Exit long,2026-02-24 10:43,Open,64284.2,0.004,257.7044,-1215.82,-0.32,4023.78,1.06,-6350.99,-1.67,33711.59,0.67
76,Entry long,2026-02-24 02:36,L_20560,64426.1,0.004,257.7044,-1215.82,-0.32,4023.78,1.06,-6350.99,-1.67,33711.59,0.67
77,Exit long,2026-02-24 10:43,Open,64284.2,0.004,256.7724,158.63,0.04,5396.37,1.43,-4976.54,-1.31,35086.04,0.70
77,Entry long,2026-02-24 02:51,L_20482,64193.1,0.004,256.7724,158.63,0.04,5396.37,1.43,-4976.54,-1.31,35086.04,0.70
78,Exit long,2026-02-24 10:43,Open,64284.2,0.004,256.152,1073.56,0.28,5473.37,1.45,-4061.61,-1.08,36000.97,0.72
78,Entry long,2026-02-24 04:39,L_20577,64038,0.004,256.152,1073.56,0.28,5473.37,1.45,-4061.61,-1.08,36000.97,0.72
