거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
39,매수 진입,2026-02-18 23:35:30,ICE_L_7404,66962.2,0.004036,270.2594392,-3209.96,-0.80,7942.19,1.98,-6983.25,-1.75,42955.06,0.86
40,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004044,270.2346384,-2384.12,-0.59,8787.88,2.20,-6167.14,-1.54,40770.91,0.82
40,매수 진입,2026-02-18 23:48:00,ICE_L_7433,66823.6,0.004044,270.2346384,-2384.12,-0.59,8787.88,2.20,-6167.14,-1.54,40770.91,0.82
41,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004052,270.2242332,-1579.67,-0.39,9612.26,2.40,-5372.34,-1.34,39391.21,0.79
41,매수 진입,2026-02-18 23:49:30,ICE_L_5906,66689.1,0.004052,270.2242332,-1579.67,-0.39,9612.26,2.40,-5372.34,-1.34,39391.21,0.79
42,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.00406,270.2133,-774.42,-0.19,0,0.00,-4576.77,-1.14,38816.74,0.78
42,매수 진입,2026-02-19 03:42:30,ICE_L_7418,66555,0.00406,270.2133,-774.42,-0.19,0,0.00,-4576.77,-1.14,38816.74,0.78
43,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004063,270.2114402,-475.78,-0.12,285.31,0.07,-4281.74,-1.07,38540.91,0.77
43,매수 진입,2026-02-19 03:42:30,ICE_L_5950,66505.4,0.004063,270.2114402,-475.78,-0.12,285.31,0.07,-4281.74,-1.07,38540.91,0.77
44,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004083,270.204774,1506.64,0.38,2266.13,0.57,-2323.41,-0.58,40247.5,0.80
44,매수 진입,2026-02-19 03:46:00,ICE_L_7705,66178,0.004083,270.204774,1506.64,0.38,2266.13,0.57,-2323.41,-0.58,40247.5,0.80
45,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004089,270.2203383,2075.28,0.52,2427.69,0.61,-1761.91,-0.44,42522.75,0.85
45,매수 진입,2026-02-19 04:27:30,ICE_L_4664,66084.7,0.004089,270.2203383,2075.28,0.52,2427.69,0.61,-1761.91,-0.44,42522.75,0.85
46,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004053,269.4957237,242.75,0.06,883.27,0.22,-4994.85,-1.25,41365.64,0.83
46,매도 진입,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004053,269.4957237,242.75,0.06,883.27,0.22,-4994.85,-1.25,41365.64,0.83
47,매도 청산,2026-02-19 21:04:00,ICE_L_8972,66386.1,0.004045,269.5405975,1097.84,0.27,1297.09,0.32,-4129.42,-1.03,42663.48,0.85
47,매도 진입,2026-02-19 10:12:30,ICE_S_8736,66635.5,0.004045,269.5405975,1097.84,0.27,1297.09,0.32,-4129.42,-1.03,42663.48,0.85
