Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L KRW,Net P&L %,Favorable excursion KRW,Favorable excursion %,Adverse excursion KRW,Adverse excursion %,Cumulative P&L KRW,Cumulative P&L %
1,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
1,Entry long,2026-02-10 12:30,ICE_L_1310,69293.8,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
2,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
2,Entry long,2026-02-10 12:31,ICE_L_1453,69210.6,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
3,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
3,Entry long,2026-02-10 15:48,ICE_L_1649,68654.5,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
4,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
4,Entry long,2026-02-10 23:40,ICE_L_1642,68160.9,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
5,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
5,Entry long,2026-02-11 12:19,ICE_L_2670,68065,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
6,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
6,Entry long,2026-02-11 13:23,ICE_L_843,67839.8,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
7,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
7,Entry long,2026-02-11 13:28,ICE_L_644,67624.6,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
8,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
8,Entry long,2026-02-11 13:29,ICE_L_2570,67534.2,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
9,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
9,Entry long,2026-02-11 13:32,ICE_L_856,67497.6,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
10,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
10,Entry long,2026-02-11 15:07,ICE_L_2557,67290.1,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
11,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
11,Entry long,2026-02-11 15:07,ICE_L_2745,67229.1,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
12,Exit long,2026-02-12 04:07,ICE_S_4019,67541.4,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
12,Entry long,2026-02-12 00:08,ICE_L_3155,65904.1,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
13,Exit short,2026-02-13 02:55,ICE_L_4299,65438.7,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
13,Entry short,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
14,Exit long,2026-02-13 18:12,ICE_S_5500,66798.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
14,Entry long,2026-02-13 02:55,ICE_L_4299,65438.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
15,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
15,Entry short,2026-02-13 18:12,ICE_S_5500,66798.7,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
16,Exit short,2026-02-15 22:45,ICE_L_8194,68813.4,0.004068,272.4575544,-11417.35,-2.84,1135.91,0.28,-23888.21,-5.95,-31409.89,-0.63
